catalog Position,Title,author,Year Published,genre,Section,Total-copies,Times borrowed,Last borrowed_date,Rating,Ratings count,Price,Language,Page count,ISBN,subjects,Dimensions,Thumbnail
A1-B1-0001,Enormous Room,E. E. Cummings,1949,Drama,Fiction,5,3,6_Jan_25,4.14 out of 5 stars,2 ratings,$14.66 ,en,249,,"Fiction, biographical, American fiction (fictional works by one author), Fiction, war & military, World war, 1914-1918, fiction, France, fiction, Fiction, historical, World War, 1914-1918, Fiction, Concentration camp inmates, Concentration camps, Americans, Ambulance drivers, Fiction, classics, World War (1914-1918) fast (OCoLC)fst01180746",4.98 x 0.6 x 7.97 inches,http://books.google.com/books/content?id=mOGcEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A1-B1-0002,Plutarchi Vitae parallelae,Plutarch,1478,Biography & Autobiography,History,4,1,19_Mar_24,No rating available,No reviews,$9.99 ,en,241,,"Politics and government, Greek authors, Civilization, Greco-Roman, Classical biography, Kings and rulers, Biographies, Orators, Romans, Early works to 1800, Rome, GrÃƒÂ¨ce-Biographies, Biographie, History, GrÃƒÂ¨ce, Biography, Statesmen, Cicero, marcus tullius, Alexander, the great, 356 b.c.-323 b.c., Greece, history, to 146 b.c.",5.74 x 1.12 x 8.08 inches,
A1-B1-0003,The water-babies,Charles Kingsley,1863,Fantasy,Children,6,6,5_Jun_24,4.21 out of 5 stars,6 ratings,$13.89 ,en,228,,"Chimney sweeps, Open Library Staff Picks, Fiction in English, Fiction, Fairy tales, Children's stories, Children's fiction, Fairies, fiction, Adventure and adventurers, fiction, Fantasy, Painting, Private collections, Royal houses, Art collections, Kings and rulers, Juvenile fiction, Fairies, Marine animals, British and irish fiction (fictional works by one author), Fiction, general, Contes de fÃƒÂ©es, Emotions, fiction",7.7 x 0.7 x 5.1 inches,
A1-B1-0004,Kipps,H. G. Wells,1900,Comedy,Fiction,4,5,6_Nov_24,4.44 out of 5 stars,4 ratings,$370 ,eng,386,,"Fiction, Young men, Working class, Orphans, British and irish fiction (fictional works by one author), England, fiction, Fiction, historical, general, Comedy",5.08 x 0.98 x 7.8 inches,
A1-B1-0005,Man and Superman,George Bernard Shaw,1903,Drama,Fiction,5,2,16_Jan_25,4.46 out of 5 stars,2 ratings,$10.99 ,en,220,,"English Dramatists, English drama, Translations into Italian, British and irish drama (dramatic works by one author), Literatura Expressao Inglesa",5.08 x 1.22 x 7.8 inches,
A1-B1-0006,The poetical works of Sir Walter Scott,Sir Walter Scott,1800,Poetry,Fiction,5,8,5_Jun_24,4.28 out of 5 stars,5 ratings,$2.99 ,en,2315,,"Texts, Scots Ballads, Poetry, Literary collections, English poetry, Poetry (poetic works by one author)",6.14 x 1.5 x 9.21 inches,
A1-B1-0007,The Ugly Duckling,Hans Christian Andersen,1851,Fantasy,Children,5,5,2_Sep_24,4.71 out of 5 stars,3 ratings,$12.08 ,en,28,,"Ducklings, Swans, Juvenile literature, Fairy tales, Translations into English, Children's stories, Danish, Folklore, Juvenile fiction, Ducks, Fiction, Children's literature, Self-perception, Child and youth fiction, Children's fiction, Readers, Children's stories, English, Picture books for children, TÃƒâ€œFK, Gyermek, Irodalom, Mese (mÃ…Â±faj), Drama, Reading materials, Cuentos de hadas, Spanish language, Ugliness, Patos, Literatura juvenil, Comic and Graphic Books, Sign language, Means of communication, Deaf, Classic Fairy Tales, Literature and fiction, juvenile, Children's stories, Polish, Translations from Danish, Toy and movable books, Cartoons and comics, Deaf, education, Deaf, books for the, Ducks, fiction, Swans, fiction, Legends, Myths & fables, Fiction - animals, Folklore & mythology, Children - fiction & literature, Children - fairy tales, Fiction, fantasy, general",7.5 x 0.35 x 9.5 inches,
A1-B1-0008,The Lost World,Michael Crichton,1995,Science Fiction,Fiction,4,199,11_Oct_24,4.64 out of 5 stars,149 ratings,$0.99 ,en,367,,"prions, scrapie, Ornitholestes, Mussaurus, Procompsognathus, Triceratops, Dryosaurus, Hypsilophodon, Parasaurolophus, Maiasaura, Stegosaurus, Apatosaurus, Gallimimus, Pachycephalosaurus, Tyrannosaurus, Velociraptors, geothermal gradient, Carnotaurus, paleontologists, Science fiction, Fiction, Dinosaurs, Cloning, Thriller, techno-thriller, American fiction, Fiction, thrillers, Fiction, espionage, Large type books, Fiction, science fiction, action & adventure, Fiction, thrillers, general, Fiction, technological, Jurassic park (imaginary place), fiction, Malcolm, ian (fictitious character), fiction, Fiction, science fiction, general, Fiction, media tie-in, Molecular cloning, Action & Adventure, Thrillers, Readers, Fiction, suspense, American Science fiction, New York Times reviewed, Dinosaures, Romans, nouvelles, etc. pour la jeunesse, Fiction, thrillers, espionage, Fiction, thrillers, technological, Children's fiction, Dinosaurs, fiction",6.44 x 1.33 x 7.38 inches,
A1-B1-0009,Terre des hommes,Antoine de Saint-Exupéry,1939,Biography & Autobiography,Non-Fiction,5,7,20_Dec_24,4.58 out of 5 stars,7 ratings,$12.30 ,fr,144,,"20th century, Aeronautics, Air pilots, Biographies, Biography, Flight, French Authors, French Personal narratives, Pilotes d'aÃƒÂ©ronef, Translations into Russian, World War, 1939-1945, Ãƒâ€°crivains canadiens-franÃƒÂ§ais, Authors, French, Arms control, Foreign relations, Authors, biography, Aeronautics, flights, Saint-exupery, antoine de, 1900-1944, Air pilots, biography, Continental european fiction (fictional works by one author), Saint-ExupeÃŒÂry, Antoine de, 1900-1944",4.33 x 0.47 x 7.09 inches,
A1-B1-0010,Physics of the Impossible,Michio Kaku,2008,Science,Science,4,11,6_Dec_24,4.63 out of 5 stars,8 ratings,$0.99 ,en,354,,"Miscellanea, Physics in literature, Mathematical physics, Science, Physics, Human-machine systems, Science, miscellanea, Science in literature, nyt:paperback-nonfiction=2009-05-03, New York Times bestseller, Physics in Literature, Human-Machine Systems, Phaenomene, Parapsychologie, Science-Fiction, Science fiction, Physik, Zeitreise, Antimaterie, Perpetuum mobile, Prognose, Discoveries in science, Forecasting, Technological innovations",5.07 x 1.42 x 7.99 inches,
